Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,9,4,802465.4148
2019,1,9,5,734346.9459
2019,1,9,6,662087.8875
2019,1,9,7,579605.8072
2019,1,9,8,557586.6362
2019,1,9,9,551967.8829
2019,1,9,10,559245.2252
2019,1,9,11,581306.4419
2019,1,9,12,646333.5573
2019,1,9,13,752477.1192
2019,1,9,14,815112.6605
2019,1,9,15,811609.2879
2019,1,9,16,799060.7879
2019,1,9,17,796194.3124
2019,1,9,18,805718.9439
2019,1,9,19,815410.8501
2019,1,9,20,812660.9028
2019,1,9,21,823268.2572
2019,1,9,22,876120.4774
2019,1,9,23,961370.9447
2019,1,9,24,1059896.04
2019,1,10,1,1007207.039
2019,1,10,2,887647.6558
2019,1,10,3,825111.6893
2019,1,10,4,746823.9567
2019,1,10,5,678480.6867
2019,1,10,6,630312.1773
2019,1,10,7,595576.6878
2019,1,10,8,576838.6003
2019,1,10,9,569171.3827
2019,1,10,10,575148.2927
2019,1,10,11,595299.7849
2019,1,10,12,659555.7108
2019,1,10,13,762915.303
2019,1,10,14,824266.0987
2019,1,10,15,815529.4183
2019,1,10,16,795868.4014
2019,1,10,17,786541.0301
2019,1,10,18,792534.0348
2019,1,10,19,800892.3157
2019,1,10,20,796203.5985
2019,1,10,21,806556.0444
2019,1,10,22,859079.0134
2019,1,10,23,944286.6855
2019,1,10,24,1043599.22
2019,1,11,1,996095.1697
2019,1,11,2,881187.7121
2019,1,11,3,821648.76
2019,1,11,4,746479.1763
2019,1,11,5,679627.6747
2019,1,11,6,633291.8615
2019,1,11,7,599830.9249
2019,1,11,8,581366.7854
2019,1,11,9,573666.6493
2019,1,11,10,579954.3226
2019,1,11,11,599942.2411
2019,1,11,12,663361.3915
2019,1,11,13,761460.4638
2019,1,11,14,828118.0599
2019,1,11,15,820245.9027
2019,1,11,16,802194.1986
2019,1,11,17,794547.8804
2019,1,11,18,800733.089
2019,1,11,19,808301.3007
2019,1,11,20,804353.3015
2019,1,11,21,816432.7146
2019,1,11,22,871818.3103
2019,1,11,23,958115.901
2019,1,11,24,1052840.102
2019,1,12,1,1000741.876
2019,1,12,2,885630.0269
2019,1,12,3,826418.7659
2019,1,12,4,752027.2531
2019,1,12,5,685021.8289
2019,1,12,6,637860.5863
2019,1,12,7,602525.8289
2019,1,12,8,584302.6702
2019,1,12,9,576924.3002
2019,1,12,10,583893.3149
2019,1,12,11,604699.9066
2019,1,12,12,670481.5757
2019,1,12,13,775454.041
2019,1,12,14,840846.5364
2019,1,12,15,834564.4666
2019,1,12,16,820691.103
2019,1,12,17,817779.3657
2019,1,12,18,828381.2008
2019,1,12,19,841038.0857
2019,1,12,20,839482.7268
2019,1,12,21,854439.0316
2019,1,12,22,910640.9025
2019,1,12,23,1000227.61
2019,1,12,24,1099002.518
2019,1,13,1,1053510.455
2019,1,13,2,940969.3218
2019,1,13,3,883564.2455
2019,1,13,4,806914.345
2019,1,13,5,740062.0272
2019,1,13,6,694454.7183
2019,1,13,7,658888.9016
2019,1,13,8,641502.194
2019,1,13,9,634964.1862
2019,1,13,10,642639.8618
2019,1,13,11,664213.161
2019,1,13,12,734011.1948
2019,1,13,13,862886.4928
2019,1,13,14,925187.0862
2019,1,13,15,908028.9544
2019,1,13,16,881982.6559
2019,1,13,17,864209.2137
2019,1,13,18,866865.8761
2019,1,13,19,870703.4013
2019,1,13,20,862254.5203
2019,1,13,21,870612.9587
2019,1,13,22,922355.9625
2019,1,13,23,1010117.445
2019,1,13,24,1103472.608
2019,1,14,1,1058194.588
2019,1,14,2,946041.7731
2019,1,14,3,892113.9062
2019,1,14,4,818962.931
2019,1,14,5,758325.594
2019,1,14,6,716950.6395
2019,1,14,7,705932.6965
2019,1,14,8,674496.0825
2019,1,14,9,666483.5957
2019,1,14,10,664844.696
2019,1,14,11,670202.0786
2019,1,14,12,706093.125
2019,1,14,13,764836.2137
2019,1,14,14,804136.7235
2019,1,14,15,813078.6454
2019,1,14,16,826142.4244
2019,1,14,17,830073.1069
2019,1,14,18,846012.916
2019,1,14,19,859778.9664
2019,1,14,20,848237.2591
2019,1,14,21,850765.1474
2019,1,14,22,865574.4174
2019,1,14,23,908197.2008
2019,1,14,24,950393.6683
2019,1,15,1,995844.1678
2019,1,15,2,977458.6388
2019,1,15,3,934882.0431
2019,1,15,4,884429.5635
2019,1,15,5,817767.871
2019,1,15,6,750866.5142
2019,1,15,7,686477.7657
2019,1,15,8,648858.9479
2019,1,15,9,641114.0009
2019,1,15,10,639685.4116
2019,1,15,11,642918.4232
2019,1,15,12,668978.3331
2019,1,15,13,711067.5014
2019,1,15,14,755711.0187
2019,1,15,15,769629.0706
2019,1,15,16,783685.2547
2019,1,15,17,786654.3815
2019,1,15,18,807173.764
2019,1,15,19,828654.5434
2019,1,15,20,823376.0585
2019,1,15,21,827427.4196
2019,1,15,22,843957.268
2019,1,15,23,890221.5266
2019,1,15,24,940342.5409
2019,1,16,1,991463.9679
2019,1,16,2,971791.0764
2019,1,16,3,924528.9766
2019,1,16,4,872344.0121
2019,1,16,5,808441.5286
2019,1,16,6,738180.5336
2019,1,16,7,651115.7273
2019,1,16,8,625812.3004
2019,1,16,9,618790.684
2019,1,16,10,624142.3406
2019,1,16,11,638681.8684
2019,1,16,12,682024.2168
2019,1,16,13,744252.3488
2019,1,16,14,808256.5774
2019,1,16,15,825250.2901
2019,1,16,16,822232.0197
2019,1,16,17,819732.5492
2019,1,16,18,829537.352
2019,1,16,19,836071.883
2019,1,16,20,829992.3245
2019,1,16,21,839760.5467
2019,1,16,22,891065.1345
2019,1,16,23,975761.4081
2019,1,16,24,1066700.605
2019,1,17,1,1012360.252
2019,1,17,2,887062.1008
2019,1,17,3,819647.5151
2019,1,17,4,761580.082
2019,1,17,5,696011.9862
2019,1,17,6,646648.2081
2019,1,17,7,602844.2931
2019,1,17,8,581529.1481
2019,1,17,9,571530.7127
2019,1,17,10,574862.834
2019,1,17,11,593177.9264
2019,1,17,12,656051.7953
2019,1,17,13,755474.9821
2019,1,17,14,820497.8088
2019,1,17,15,817489.2354
2019,1,17,16,805129.7106
2019,1,17,17,801943.9892
2019,1,17,18,812995.8348
2019,1,17,19,823895.0567
2019,1,17,20,821485.7587
2019,1,17,21,832600.8396
2019,1,17,22,883968.0948
2019,1,17,23,966681.7529
2019,1,17,24,1061716.072
2019,1,18,1,1014465.596
2019,1,18,2,898542.2177
2019,1,18,3,838222.3752
2019,1,18,4,761902.3245
2019,1,18,5,693798.7374
2019,1,18,6,647206.0823
2019,1,18,7,612418.9684
2019,1,18,8,595605.4867
2019,1,18,9,589325.7025
2019,1,18,10,597198.2921
2019,1,18,11,619739.8788
2019,1,18,12,689325.9173
2019,1,18,13,805362.6511
2019,1,18,14,868739.4146
2019,1,18,15,859267.2118
2019,1,18,16,839009.9066
2019,1,18,17,826839.0291
2019,1,18,18,832057.2088
2019,1,18,19,839512.5096
2019,1,18,20,833834.3045
2019,1,18,21,845368.0531
2019,1,18,22,900742.8404
2019,1,18,23,989851.2224
2019,1,18,24,1089475.539
2019,1,19,1,1053047.045
2019,1,19,2,943677.1641
2019,1,19,3,887569.3348
2019,1,19,4,809441.0407
2019,1,19,5,740574.7626
2019,1,19,6,693093.2197
2019,1,19,7,661383.1699
2019,1,19,8,643657.7306
2019,1,19,9,636072.8363
2019,1,19,10,643046.9013
2019,1,19,11,665418.6827
2019,1,19,12,734242.5799
2019,1,19,13,850920.3639
2019,1,19,14,912784.965
2019,1,19,15,892865.016
2019,1,19,16,862995.716
2019,1,19,17,845697.4706
2019,1,19,18,848688.4502
2019,1,19,19,854075.0722
2019,1,19,20,848481.2512
2019,1,19,21,859177.6083
2019,1,19,22,913032.6778
2019,1,19,23,997695.4949
2019,1,19,24,1091493.227
2019,1,20,1,1051284.788
2019,1,20,2,940116.7573
2019,1,20,3,881742.6745
2019,1,20,4,798072.4778
2019,1,20,5,727450.1692
2019,1,20,6,678405.9636
2019,1,20,7,640165.8423
2019,1,20,8,618561.0143
2019,1,20,9,608200.6484
2019,1,20,10,610689.4356
2019,1,20,11,628780.9972
2019,1,20,12,691131.0353
