Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,7,4,1.83385E+11
2019,1,7,5,1.68235E+11
2019,1,7,6,1.54716E+11
2019,1,7,7,1.46084E+11
2019,1,7,8,1.40675E+11
2019,1,7,9,1.39134E+11
2019,1,7,10,1.42047E+11
2019,1,7,11,1.54644E+11
2019,1,7,12,1.80939E+11
2019,1,7,13,2.0594E+11
2019,1,7,14,2.1816E+11
2019,1,7,15,2.218E+11
2019,1,7,16,2.20511E+11
2019,1,7,17,2.15595E+11
2019,1,7,18,2.10538E+11
2019,1,7,19,2.06852E+11
2019,1,7,20,2.0357E+11
2019,1,7,21,2.02425E+11
2019,1,7,22,2.04969E+11
2019,1,7,23,2.14614E+11
2019,1,7,24,2.2614E+11
2019,1,8,1,2.31545E+11
2019,1,8,2,2.27083E+11
2019,1,8,3,2.13395E+11
2019,1,8,4,1.9536E+11
2019,1,8,5,1.75866E+11
2019,1,8,6,1.59093E+11
2019,1,8,7,1.47261E+11
2019,1,8,8,1.4054E+11
2019,1,8,9,1.38519E+11
2019,1,8,10,1.40324E+11
2019,1,8,11,1.50209E+11
2019,1,8,12,1.73684E+11
2019,1,8,13,1.98448E+11
2019,1,8,14,2.09849E+11
2019,1,8,15,2.13089E+11
2019,1,8,16,2.11422E+11
2019,1,8,17,2.07167E+11
2019,1,8,18,2.02448E+11
2019,1,8,19,2.0003E+11
2019,1,8,20,1.96711E+11
2019,1,8,21,1.95049E+11
2019,1,8,22,1.97404E+11
2019,1,8,23,2.07072E+11
2019,1,8,24,2.21159E+11
2019,1,9,1,2.27444E+11
2019,1,9,2,2.2597E+11
2019,1,9,3,2.14284E+11
2019,1,9,4,1.9677E+11
2019,1,9,5,1.78445E+11
2019,1,9,6,1.63676E+11
2019,1,9,7,1.53487E+11
2019,1,9,8,1.48261E+11
2019,1,9,9,1.47139E+11
2019,1,9,10,1.49546E+11
2019,1,9,11,1.61877E+11
2019,1,9,12,1.88451E+11
2019,1,9,13,2.16552E+11
2019,1,9,14,2.28376E+11
2019,1,9,15,2.30477E+11
2019,1,9,16,2.28723E+11
2019,1,9,17,2.24351E+11
2019,1,9,18,2.19306E+11
2019,1,9,19,2.1589E+11
2019,1,9,20,2.12429E+11
2019,1,9,21,2.11252E+11
2019,1,9,22,2.16325E+11
2019,1,9,23,2.31666E+11
2019,1,9,24,2.50299E+11
2019,1,10,1,2.5981E+11
2019,1,10,2,2.61303E+11
2019,1,10,3,2.51546E+11
2019,1,10,4,2.33353E+11
2019,1,10,5,2.1415E+11
2019,1,10,6,2.00212E+11
2019,1,10,7,1.90847E+11
2019,1,10,8,1.85125E+11
2019,1,10,9,1.83953E+11
2019,1,10,10,1.88254E+11
2019,1,10,11,2.01744E+11
2019,1,10,12,2.32328E+11
2019,1,10,13,2.6335E+11
2019,1,10,14,2.73614E+11
2019,1,10,15,2.70607E+11
2019,1,10,16,2.63467E+11
2019,1,10,17,2.52723E+11
2019,1,10,18,2.41513E+11
2019,1,10,19,2.31666E+11
2019,1,10,20,2.25665E+11
2019,1,10,21,2.22645E+11
2019,1,10,22,2.26747E+11
2019,1,10,23,2.4376E+11
2019,1,10,24,2.63642E+11
2019,1,11,1,2.73811E+11
2019,1,11,2,2.75864E+11
2019,1,11,3,2.66616E+11
2019,1,11,4,2.47531E+11
2019,1,11,5,2.27162E+11
2019,1,11,6,2.11709E+11
2019,1,11,7,2.02675E+11
2019,1,11,8,1.96449E+11
2019,1,11,9,1.9505E+11
2019,1,11,10,1.98637E+11
2019,1,11,11,2.11957E+11
2019,1,11,12,2.42013E+11
2019,1,11,13,2.71439E+11
2019,1,11,14,2.79838E+11
2019,1,11,15,2.73804E+11
2019,1,11,16,2.63576E+11
2019,1,11,17,2.51012E+11
2019,1,11,18,2.39916E+11
2019,1,11,19,2.31711E+11
2019,1,11,20,2.24269E+11
2019,1,11,21,2.21276E+11
2019,1,11,22,2.23734E+11
2019,1,11,23,2.37238E+11
2019,1,11,24,2.49829E+11
2019,1,12,1,2.53768E+11
2019,1,12,2,2.518E+11
2019,1,12,3,2.41536E+11
2019,1,12,4,2.27178E+11
2019,1,12,5,2.10179E+11
2019,1,12,6,1.94683E+11
2019,1,12,7,1.8302E+11
2019,1,12,8,1.74725E+11
2019,1,12,9,1.703E+11
2019,1,12,10,1.70109E+11
2019,1,12,11,1.74564E+11
2019,1,12,12,1.82941E+11
2019,1,12,13,1.95301E+11
2019,1,12,14,2.0911E+11
2019,1,12,15,2.19283E+11
2019,1,12,16,2.24287E+11
2019,1,12,17,2.25236E+11
2019,1,12,18,2.22049E+11
2019,1,12,19,2.16976E+11
2019,1,12,20,2.13025E+11
2019,1,12,21,2.1147E+11
2019,1,12,22,2.1224E+11
2019,1,12,23,2.21336E+11
2019,1,12,24,2.31125E+11
2019,1,13,1,2.34019E+11
2019,1,13,2,2.33169E+11
2019,1,13,3,2.24813E+11
2019,1,13,4,2.1289E+11
2019,1,13,5,1.987E+11
2019,1,13,6,1.85217E+11
2019,1,13,7,1.75414E+11
2019,1,13,8,1.68919E+11
2019,1,13,9,1.65559E+11
2019,1,13,10,1.6475E+11
2019,1,13,11,1.68272E+11
2019,1,13,12,1.75471E+11
2019,1,13,13,1.84812E+11
2019,1,13,14,1.98427E+11
2019,1,13,15,2.10909E+11
2019,1,13,16,2.1692E+11
2019,1,13,17,2.16954E+11
2019,1,13,18,2.15036E+11
2019,1,13,19,2.11745E+11
2019,1,13,20,2.08921E+11
2019,1,13,21,2.08258E+11
2019,1,13,22,2.12765E+11
2019,1,13,23,2.26193E+11
2019,1,13,24,2.42379E+11
2019,1,14,1,2.48955E+11
